URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,79,23,0.55,0.1,21.29,0.23,8.61,11.61,379,1008,2.64,2,7.38
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.49,0.15,25.71,0.23,10.38,11.61,144,337,2.7,3,7.68
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,18,27,-0.2,0.07,14.97,0.22,6.08,11.61,235,623,2.35,3,7.06
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,35,26,0.15,0.08,20.44,0.24,8.27,11.61,300,764,2.36,7,7.1
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,35,26,0.15,0.08,20.44,0.24,8.27,11.61,300,764,2.36,7,7.1
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,49,11,0.63,0.08,18.33,0.24,7.43,11.61,278,701,2.41,5,7.13
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,32,10,0.52,0.06,23.0,0.24,9.3,11.61,263,653,2.42,1,7.26
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,59,6,0.82,0.06,18.68,0.24,7.57,11.61,430,995,2.36,5,7.1
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,7,0,1.0,0.03,21.73,0.15,8.75,11.61,85,289,2.19,1,6.54
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,19,47,-0.42,0.1,20.84,0.26,8.44,11.61,267,628,2.45,6,7.23
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,12,10,0.09,0.09,15.67,0.19,6.34,11.61,81,219,2.41,6,7.01
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,27,15,0.29,0.06,21.0,0.18,8.47,11.61,245,769,2.27,7,6.77
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,20,3,0.74,0.07,24.48,0.25,9.89,11.61,141,330,2.38,1,7.05
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,13,10,0.13,0.04,40.42,0.17,16.24,11.61,174,605,2.01,4,6.19
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,21,14,0.2,0.06,20.58,0.23,8.32,11.61,205,537,2.29,2,6.84
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,22,26,-0.08,0.07,24.72,0.16,9.95,11.61,207,698,2.1,26,6.32
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,32,24,0.14,0.08,26.83,0.2,10.81,11.61,224,651,2.32,10,7.0
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,64,32,0.33,0.08,23.88,0.25,9.65,11.61,456,1158,2.38,1,7.17
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,38,0.21,0.12,17.94,0.16,7.24,11.61,230,773,2.1,7,6.41
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,37,0.27,0.1,20.35,0.22,8.23,11.61,389,1013,2.43,3,7.18
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,65,28,0.4,0.11,17.49,0.16,7.06,11.61,258,910,2.19,17,6.36
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,57,25,0.39,0.08,21.61,0.18,8.72,11.61,327,992,2.22,18,6.71
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,43,22,0.32,0.08,21.21,0.17,8.55,11.61,224,724,2.17,21,6.61
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.33,0.07,16.44,0.18,6.65,11.61,133,411,2.26,7,6.81
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32,13,0.42,0.11,20.94,0.13,8.43,11.61,99,417,2.0,2,6.22
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,63,33,0.31,0.08,26.91,0.18,10.84,11.61,403,1220,2.25,11,6.54
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,48,57,-0.09,0.08,20.23,0.18,8.16,11.61,381,1242,2.14,1,6.35
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,33,22,0.2,0.08,20.9,0.24,8.46,11.61,289,708,2.49,10,7.31
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,29,29,0.0,0.07,14.45,0.19,5.86,11.61,234,762,2.1,6,6.3
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,58,24,0.41,0.1,26.21,0.15,10.54,11.61,259,882,2.24,33,6.68
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,67,21,0.52,0.09,19.66,0.19,7.94,11.61,313,955,2.23,11,6.62
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24,0,1.0,0.07,23.32,0.22,9.42,11.61,114,308,2.49,0,7.23
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,75,39,0.32,0.14,205.78,0.14,82.37,11.61,268,942,2.16,15,6.39
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,23,0,1.0,0.04,17.12,0.23,6.94,11.61,227,554,2.32,0,6.85
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,5,0.47,0.04,17.71,0.28,7.2,11.61,206,426,2.49,1,7.51
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,4,-0.14,0.04,27.5,0.23,11.09,11.61,75,198,2.39,2,6.9
blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,23,69,-0.5,0.11,24.35,0.19,9.82,11.61,257,777,2.24,2,6.81
blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16,15,0.03,0.08,24.23,0.19,9.77,11.61,141,406,2.22,4,6.62
blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,57,38,0.2,0.09,17.68,0.17,7.14,11.61,344,1025,2.2,10,6.59
blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,41,3,0.86,0.1,15.5,0.2,6.28,11.61,137,392,2.34,4,6.86
blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,5,0,1.0,0.02,22.06,0.15,8.88,11.61,60,240,2.1,0,6.24
blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,26,9,0.49,0.05,23.18,0.16,9.34,11.61,183,672,2.07,4,6.18
blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,24,8,0.5,0.08,27.26,0.24,11.0,11.61,149,391,2.46,1,6.99
blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,14,9,0.22,0.11,13.76,0.16,5.57,11.61,64,198,2.41,0,7.17
blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4,0,1.0,0.04,15.18,0.22,6.16,11.61,36,101,2.67,2,7.35
blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,20,37,-0.3,0.11,15.23,0.13,6.14,11.61,110,432,2.07,19,6.17
blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5,2,0.43,0.06,18.9,0.16,7.62,11.61,30,108,2.22,1,6.44
blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,48,18,0.45,0.08,19.81,0.26,8.03,11.61,301,706,2.54,0,7.48
blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,7,18,-0.44,0.08,23.65,0.21,9.54,11.61,112,308,2.14,10,6.7
blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,21,37,-0.28,0.1,21.2,0.17,8.55,11.61,181,576,2.17,7,6.52
blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,26,49,-0.31,0.07,23.92,0.24,9.66,11.61,419,1002,2.37,16,7.19
blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,42,23,0.29,0.07,25.26,0.15,10.16,11.61,267,898,2.15,20,6.42
blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,29,24,0.09,0.06,17.52,0.16,7.07,11.61,240,821,2.08,18,6.36
blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,24,7,0.55,0.07,14.6,0.14,5.9,11.61,123,411,2.18,1,6.5
blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,38,8,0.65,0.06,22.29,0.13,8.97,11.61,195,691,2.06,4,6.35
blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,27,6,0.64,0.13,32.73,0.17,13.16,11.61,82,248,2.14,8,6.35
blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,38,16,0.41,0.06,23.39,0.19,9.43,11.61,317,962,2.25,8,6.61
blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,21,71,-0.54,0.16,13.75,0.14,5.56,11.61,149,530,2.07,13,6.29
blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,62,23,0.46,0.13,15.25,0.13,6.15,11.61,154,619,1.97,5,6.11
blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,24,44,-0.29,0.1,26.73,0.15,10.75,11.61,178,720,1.92,2,6.19
blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,29,24,0.09,0.06,17.08,0.21,6.92,11.61,296,827,2.35,9,6.93
blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,21,79,-0.58,0.17,13.89,0.14,5.61,11.61,159,561,2.08,15,6.33
blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,37,32,0.07,0.08,28.29,0.16,11.38,11.61,258,832,2.13,5,6.49
blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,23,13,0.28,0.08,34.59,0.16,13.9,11.61,123,427,2.27,1,6.97
blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,37,24,0.21,0.08,33.14,0.2,13.34,11.61,239,699,2.36,1,7.13
blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,31,49,-0.22,0.08,23.86,0.19,9.62,11.61,320,962,2.2,5,6.7
blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,31,12,0.44,0.02,16.76,0.17,6.77,11.61,542,2097,1.91,0,6.2
blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,33,42,-0.12,0.08,21.49,0.18,8.67,11.61,329,948,2.27,10,6.83
blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,29,69,-0.41,0.1,23.92,0.27,9.68,11.61,407,939,2.38,0,7.16
blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,3,3,0.0,0.07,21.25,0.16,8.56,11.61,28,91,2.11,2,6.36
blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,29,4,0.76,0.05,21.63,0.14,8.71,11.61,136,565,2.0,2,6.16
blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,38,31,0.1,0.08,15.4,0.18,6.23,11.61,337,934,2.24,6,6.73
blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,50,16,0.52,0.06,19.45,0.19,7.86,11.61,354,1045,2.13,5,6.49
blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,29,33,-0.06,0.1,23.43,0.16,9.44,11.61,174,620,2.15,3,6.55
blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17,41,-0.41,0.05,24.61,0.23,9.94,11.61,400,1046,2.33,1,6.97
blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,14,41,-0.49,0.1,18.71,0.18,7.56,11.61,175,555,2.23,6,6.63
blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,33,48,-0.19,0.12,16.89,0.16,6.82,11.61,199,642,2.18,37,6.54
blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,21,27,-0.12,0.09,27.65,0.19,11.14,11.61,209,607,2.27,12,6.64
blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,22,45,-0.34,0.08,20.08,0.2,8.11,11.61,262,799,2.21,3,6.72
blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,3,3,0.0,0.06,19.1,0.13,7.69,11.61,25,99,2.01,2,6.08
blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,28,46,-0.24,0.11,18.02,0.16,7.27,11.61,183,645,2.05,13,6.37
blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,6,24,-0.6,0.07,16.89,0.19,6.83,11.61,118,372,2.09,4,6.45
blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,26,54,-0.35,0.12,23.0,0.23,9.29,11.61,258,654,2.36,4,7.04
blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,22,35,-0.23,0.1,29.0,0.16,11.66,11.61,172,537,2.1,7,6.43
blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,5,3,0.25,0.03,27.93,0.29,11.29,11.61,113,255,2.35,0,7.15
blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,12,3,0.6,0.04,19.55,0.14,7.88,11.61,85,350,2.03,4,6.12
blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,32,58,-0.29,0.13,33.12,0.21,13.33,11.61,219,616,2.25,3,6.9
